environment,command,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
noisy,right,-260.44962,38.898487,-71.01205,2.5303404,-30.788317,8.843357,-11.978267,-2.7417684,-6.658939,-6.0037026,-11.928067,-17.396223,-10.6798115
noisy,right,-189.09319,31.293415,-75.816956,-0.13958694,-25.63482,8.155163,-14.360594,4.2839956,-1.9793473,-8.292264,-9.71316,-14.626775,-12.236015
noisy,right,-249.56552,45.58781,-49.76267,9.7121935,-24.394001,16.311935,-15.62997,0.88345325,-7.3251214,-11.456355,-6.193398,-8.064465,-12.321545
noisy,right,-250.29776,46.74854,-50.268612,9.974088,-12.371656,-1.9305656,-13.863195,-3.555007,-14.499332,-9.393943,-5.5562468,-13.601814,-12.330177
noisy,right,-251.46236,52.605995,-50.584656,16.479517,-25.710152,13.381399,-16.389975,3.1556833,-6.614653,-10.623687,-5.6244435,-14.423551,-9.270947
noisy,right,-207.40309,45.066574,-49.92332,13.0862875,-29.257181,7.904004,-13.051971,4.950081,-13.42354,-14.681211,-7.2764645,-16.813564,-4.532087
noisy,right,-274.74326,69.31502,-38.73656,12.353779,-9.889449,1.573382,-11.179672,2.0452552,-5.5299487,-7.044067,-9.08239,-8.968394,-6.219095
noisy,stop,-211.57089,48.777344,-52.16304,3.9317944,-25.295418,2.3462515,-5.8739324,-11.959497,-0.8613704,0.49895415,-14.578939,-11.081257,-17.652714
noisy,stop,-177.66264,21.85097,-37.25315,27.133766,-31.91271,-9.649755,-4.518196,4.195108,-22.30828,10.058068,-7.987987,-8.596278,2.1384623
noisy,stop,-229.6796,48.27136,-48.275772,4.869921,-34.95984,2.5601208,-2.4266279,-6.4985194,-12.650063,11.380635,-16.740513,-3.7924182,-10.102883
noisy,stop,-236.25099,29.926865,-39.870182,8.284035,-33.16176,8.414356,-4.5726414,-14.462516,-4.6470113,1.941178,-21.834984,0.12408178,-9.122941
noisy,stop,-262.41345,44.347885,-55.49801,8.069539,-31.24302,-0.23538952,-7.0247345,-13.770608,-3.1021457,1.2198331,-11.05394,-0.8103228,-13.898029
noisy,stop,-232.60919,29.227251,-60.151974,2.889564,-30.441435,-7.2575717,-9.653098,4.740983,-17.051004,6.4748116,-15.089921,-9.89981,-5.351507
noisy,stop,-193.08832,28.792583,-78.89275,9.606807,-28.289713,-5.759033,-10.36477,3.179418,-9.161622,-0.21921413,-16.093132,-8.753717,-10.231319
noisy,stop,-261.97537,40.84407,-81.09125,4.995305,-2.8320668,-26.27367,-8.821497,0.4514142,-10.425992,1.0289824,-9.31179,-14.750535,-14.694005
noisy,stop,-231.39017,25.841057,-82.41469,5.2975035,-41.23249,0.5080395,-6.758629,-8.509425,10.492577,-13.668068,-13.345947,-10.530005,-10.556578
